text,label
???? ???? ????? ??? ????? ?????? 08:30 ??? ????. ???? ????? 100.,0
???? ???? ?????? ?????? ?? ???? ?? 09:00. ???? ????? 101.,0
?? ?????? ???? ??????? ???? ?? ????. ???? ????? 102.,0
??? ????? ????? ????? ???? ????? ???????? ??? ?????. ???? ????? 103.,0
????? ????? ????? ????? ?? ???? ??????. ???? ????? 104.,0
?? ????? ???? ????? ????? ????? ??? ????. ???? ????? 105.,0
???? ?????? ??????? ????? ??? 18:30. ???? ????? 106.,0
??? ???? ???? ????? ???? ??? ???? ????. ???? ????? 107.,0
?????: ???? ?????? ??? 08:30 ??????? ?????. ???? ????? 108.,0
???? ??????? ??? ????? ?? ????? ????? ??? ???. ???? ????? 109.,0
???? ???? ?????? ??? ???????? ?????? 10:00 ??? ?????. ???? ????? 110.,0
???? ???? ????? ?????? ?? ???? ?? 11:30. ???? ????? 111.,0
?? ?????? ????? ??????? ????? ?? ???. ???? ????? 112.,0
??? ????? ???? ????? ????? ????? ???????? ??? ?????. ???? ????? 113.,0
????? ???? ????? ????? ?? ????? ??????. ???? ????? 114.,0
?? ????? ????? ????? ????? ??? ??? ??????. ???? ????? 115.,0
???? ?????? ?????? ?????? ??? 08:30. ???? ????? 116.,0
??? ???? ???? ????? ?????? ??? ???? ??????. ???? ????? 117.,0
?????: ??????? ?????? ??? 10:00 ??????? ?????. ???? ????? 118.,0
???? ??????? ??? ?????? ?? ????? ?????? ??? ?????. ???? ????? 119.,0
???? ????? ????? ??? ????? ?????? 13:00 ??? ?????. ???? ????? 120.,0
???? ???? ????? ?????? ?? ??????? ?? 15:00. ???? ????? 121.,0
?? ?????? ????? ??????? ???? ?? ????. ???? ????? 122.,0
??? ????? ????? ????? ????? ????? ???????? ??? ???. ???? ????? 123.,0
????? ???? ????? ????? ?? ???? ??????. ???? ????? 124.,0
?? ????? ????? ????? ????? ??? ??? ??????. ???? ????? 125.,0
???? ?????? ?????? ?????? ??? 10:00. ???? ????? 126.,0
??? ???? ???? ????? ?????? ??? ???? ????. ???? ????? 127.,0
?????: ?????? ?????? ??? 13:00 ??????? ?????. ???? ????? 128.,0
???? ??????? ??? ????? ?? ????? ??? ??? ???. ???? ????? 129.,0
???? ?????? ?????? ??? ???????? ?????? 18:30 ??? ???. ???? ????? 130.,0
???? ???? ???? ?????? ?? ????? ?? 20:00. ???? ????? 131.,0
?? ?????? ??? ??????? ????? ?? ??????. ???? ????? 132.,0
??? ????? ?????? ????? ??????? ????? ???????? ??? ????. ???? ????? 133.,0
????? ??? ????? ????? ?? ????? ???????. ???? ????? 134.,0
?? ????? ??????? ????? ????? ??? ??? ??????. ???? ????? 135.,0
???? ?????? ??? ????? ??? 13:00. ???? ????? 136.,0
??? ???? ????? ????? ???? ??? ???? ????. ???? ????? 137.,0
?????: ????? ?????? ??? 18:30 ??????? ????. ???? ????? 138.,0
???? ??????? ??? ???? ?? ????? ???? ??? ????. ???? ????? 139.,0
???? ???? ???????? ??? ?????? ?????? 08:30 ??? ????. ???? ????? 140.,0
???? ???? ????? ?????? ?? ???? ?? 09:00. ???? ????? 141.,0
?? ?????? ??? ??????? ????? ?? ???????. ???? ????? 142.,0
??? ????? ????? ????? ?????? ????? ???????? ??? ????. ???? ????? 143.,0
????? ????? ????? ????? ?? ????? ??????. ???? ????? 144.,0
?? ????? ???? ????? ????? ?????? ??? ????????. ???? ????? 145.,0
???? ?????? ???? ?????? ??? 18:30. ???? ????? 146.,0
??? ???? ??? ????? ????? ??? ???? ???????. ???? ????? 147.,0
?????: ?????? ?????? ??? 08:30 ??????? ?????. ???? ????? 148.,0
???? ??????? ??? ????? ?? ????? ?????? ??? ????. ???? ????? 149.,0
???? ?????? ??? ??? ??????? ?????? 10:00 ??? ?????. ???? ????? 150.,0
???? ???? ????? ?????? ?? ???? ?? 11:30. ???? ????? 151.,0
?? ?????? ???? ??????? ???? ?? ??????. ???? ????? 152.,0
??? ????? ????? ????? ???? ????? ???????? ??? ?????. ???? ????? 153.,0
????? ?????? ????? ????? ?? ????? ??????. ???? ????? 154.,0
?? ????? ????? ????? ????? ?????? ??? ???. ???? ????? 155.,0
???? ?????? ????? ???????? ??? 08:30. ???? ????? 156.,0
??? ???? ????? ????? ??? ??? ???? ?????. ???? ????? 157.,0
?????: ?????? ?????? ??? 10:00 ??????? ????????. ???? ????? 158.,0
???? ??????? ??? ????? ?? ????? ????? ??? ???????. ???? ????? 159.,0
???? ???? ???? ??? ?????? ?????? 13:00 ??? ????. ???? ????? 160.,0
???? ???? ???? ?????? ?? ????? ?? 15:00. ???? ????? 161.,0
?? ?????? ??? ??????? ???? ?? ????. ???? ????? 162.,0
??? ????? ???? ????? ????? ????? ???????? ??? ??????. ???? ????? 163.,0
????? ?????? ????? ????? ?? ?????? ?????. ???? ????? 164.,0
?? ????? ??? ????? ????? ?????? ??? ????. ???? ????? 165.,0
???? ?????? ????? ??????? ??? 10:00. ???? ????? 166.,0
??? ???? ???????? ????? ???? ??? ???? ?????. ???? ????? 167.,0
?????: ???????? ???? ??? 13:00 ??????? ??????. ???? ????? 168.,0
???? ??????? ??? ?????? ?? ????? ?????? ??? ?????. ???? ????? 169.,0
???? ????? ???? ??? ????? ?????? 18:30 ??? ?????. ???? ????? 170.,0
???? ???? ????? ?????? ?? ???????? ?? 20:00. ???? ????? 171.,0
?? ?????? ???? ??????? ????? ?? ????. ???? ????? 172.,0
??? ????? ?????? ????? ???? ????? ???????? ??? ??????. ???? ????? 173.,0
????? ???? ????? ????? ?? ???? ?????. ???? ????? 174.,0
